post_id,platform,content_type,topic,language,region,post_datetime,hashtags,sentiment_score,views,likes,comments,shares,engagement_rate,is_viral,post_date,post_time,followers,engagement_level,follower_category,creator_id
39,LinkedIn,carousel,Travel,EN,IN,"2025-05-31 10:42:00","#Wanderlust #Tourism #Journey #Adventure #ExploreMore #Travel",-0.06,17475,479,184,73,0.0423,0,2025-05-31,10:42:00,423,LOW,SMALL,5
40,LinkedIn,video,Education,HI,AU,"2025-12-20 10:30:00","#Certification #AcademicSuccess #Knowledge #Learning #StudyTips",0.62,20809,343,132,52,0.0254,0,2025-12-20,10:30:00,254,LOW,SMALL,5
41,LinkedIn,poll,Sports,UR,US,"2025-01-28 10:55:00","#Sports #Training #Cricket #Football #Fitness #Basketball",0.51,4367,147,56,22,0.0522,0,2025-01-28,10:55:00,522,LOW,SMALL,5
42,LinkedIn,carousel,Entertainment,HI,FR,"2025-09-09 09:09:00","#Trending #Entertainment #Viral #MovieTime #ShowBiz #Funny #FollowForMore",-0.01,30014,967,372,148,0.0496,0,2025-09-09,09:09:00,496,LOW,SMALL,5
43,LinkedIn,poll,Health,UR,CA,"2025-11-14 09:40:00","#Fitness #Health #Wellness #HealthTips",0.45,1175,52,20,8,0.0691,0,2025-11-14,09:40:00,691,LOW,SMALL,5
44,LinkedIn,poll,Travel,UR,US,"2025-04-29 14:55:00","#Travel #Adventure #Wanderlust #Tourism #Journey #ExploreMore",0.53,10764,898,345,138,0.1285,1,2025-04-29,14:55:00,1285,LOW,SMALL,5
45,LinkedIn,video,Entertainment,EN,MX,"2025-06-07 14:07:00","#MovieTime #Trending #FollowForMore #ShowBiz #Funny #Viral",0.76,29313,2185,840,336,0.1148,1,2025-06-07,14:07:00,1148,LOW,SMALL,5
46,LinkedIn,poll,Lifestyle,EN,IN,"2025-04-28 18:01:00","#Motivation #Wellness #Lifestyle #Positivity #DailyLife #MindfulLiving",-0.84,39360,1216,468,187,0.0476,0,2025-04-28,18:01:00,476,LOW,SMALL,5
47,LinkedIn,carousel,Entertainment,JA,DE,"2025-07-29 09:21:00","#MovieTime #FollowForMore #Trending #ShowBiz #Funny #Entertainment",0.59,22186,535,206,82,0.0372,0,2025-07-29,09:21:00,371,LOW,SMALL,5
48,LinkedIn,carousel,Fashion,EN,AU,"2025-08-25 10:23:00","#TrendingStyle #Lookbook #Fashion #FashionTips #Style #OOTD",-0.61,46760,1699,653,261,0.0559,0,2025-08-25,10:23:00,559,LOW,SMALL,5
49,LinkedIn,article,Food,FR,MX,"2025-06-09 15:14:00","#Recipe #Food #Foodie",0.83,34349,2524,971,388,0.1131,1,2025-06-09,15:14:00,1131,LOW,SMALL,5
50,LinkedIn,carousel,Travel,JA,BR,"2025-08-22 15:58:00","#ExploreMore #Adventure #Travel #Journey #Wanderlust #Tourism",-0.54,1168,30,11,4,0.0405,0,2025-08-22,15:58:00,405,LOW,SMALL,5
51,LinkedIn,image,Food,JA,MX,"2025-08-17 14:35:00","#Recipe #MustTry #Cooking #Food #FoodBlog #Foodie",0.87,3860,163,63,25,0.0653,0,2025-08-17,14:35:00,653,LOW,SMALL,5
52,LinkedIn,carousel,Health,PT,MX,"2025-09-11 04:37:00","#Health #MentalHealth #Nutrition #Fitness #Wellness",0.49,43911,3829,1473,589,0.1342,1,2025-09-11,04:37:00,1342,LOW,SMALL,5
53,LinkedIn,article,Travel,UR,DE,"2025-11-16 20:54:00","#Journey #ExploreMore #Tourism #Adventure #Wanderlust",-0.18,5484,146,56,22,0.0411,0,2025-11-16,20:54:00,411,LOW,SMALL,5
54,LinkedIn,image,Business,HI,FR,"2025-02-20 22:06:00","#Entrepreneur #StartupLife #BusinessTips #CareerGrowth #Hustle #Leadership",0.62,10540,360,138,55,0.0527,0,2025-02-20,22:06:00,527,LOW,SMALL,5
55,LinkedIn,carousel,Food,ES,MX,"2025-03-31 15:43:00","#Recipe #FoodBlog #Foodie #Food",0.55,17733,1163,447,179,0.101,1,2025-03-31,15:43:00,1010,LOW,SMALL,5
56,LinkedIn,carousel,Lifestyle,ES,IN,"2025-08-15 18:40:00","#MindfulLiving #Motivation #Positivity #DailyLife #Lifestyle #Wellness",-0.15,25993,1245,479,191,0.0737,0,2025-08-15,18:40:00,737,LOW,SMALL,5
57,LinkedIn,poll,Lifestyle,UR,US,"2025-12-04 09:55:00","#MindfulLiving #Lifestyle #Positivity #DailyLife #Wellness #Motivation",0.51,17425,1145,440,176,0.1012,1,2025-12-04,09:55:00,1012,LOW,SMALL,5
58,LinkedIn,video,Entertainment,EN,UK,"2025-08-14 14:08:00","#Trending #ShowBiz #FollowForMore",0.48,36350,2909,1119,447,0.1231,1,2025-08-14,14:08:00,1231,LOW,SMALL,5
59,LinkedIn,image,Fashion,UR,MX,"2025-05-12 15:18:00","#OOTD #Fashion #TrendingStyle #FashionTips #Lookbook #Style",0.16,27044,2150,827,330,0.1223,1,2025-05-12,15:18:00,1223,LOW,SMALL,5
60,LinkedIn,poll,Education,HI,FR,"2025-01-08 09:23:00","#Certification #Knowledge #StudyTips #AcademicSuccess #Education #Learning",0.68,41602,3529,1357,543,0.1305,1,2025-01-08,09:23:00,1305,LOW,SMALL,5
61,LinkedIn,poll,Education,FR,IN,"2025-11-22 22:41:00","#Learning #Education #Certification #StudyTips #AcademicSuccess #Knowledge",0.54,36228,918,353,141,0.039,0,2025-11-22,22:41:00,390,LOW,SMALL,5
62,LinkedIn,carousel,Education,PT,CA,"2025-03-21 20:53:00","#AcademicSuccess #StudyTips #Knowledge #Learning #Education #Certification",0.97,24768,622,239,95,0.0386,0,2025-03-21,20:53:00,386,LOW,SMALL,5
63,LinkedIn,image,Fashion,DE,US,"2025-07-23 09:05:00","#Style #FashionTips #Fashion #TrendingStyle #Lookbook #OOTD",-0.29,14448,230,88,35,0.0245,0,2025-07-23,09:05:00,245,LOW,SMALL,5
64,LinkedIn,poll,Business,FR,BR,"2025-06-18 19:17:00","#Entrepreneur #Leadership #StartupLife #BusinessTips",0.92,9637,171,66,26,0.0274,0,2025-06-18,19:17:00,274,LOW,SMALL,5
65,LinkedIn,video,Food,DE,US,"2025-03-31 10:26:00","#Food #MustTry #Recipe #Foodie #Cooking #FoodBlog",0.53,41311,757,291,116,0.0282,0,2025-03-31,10:26:00,282,LOW,SMALL,5
66,LinkedIn,poll,Lifestyle,JA,US,"2025-02-01 12:43:00","#Positivity #MindfulLiving #Lifestyle",-0.04,10721,182,70,28,0.0262,0,2025-02-01,12:43:00,262,LOW,SMALL,5
67,LinkedIn,image,Food,DE,FR,"2025-11-02 15:38:00","#Food #MustTry #Foodie #Recipe #Cooking #FoodBlog",0.9,27131,1379,530,212,0.0782,0,2025-11-02,15:38:00,782,LOW,SMALL,5
68,LinkedIn,article,Education,PT,DE,"2025-12-07 10:59:00","#Learning #Certification #AcademicSuccess #StudyTips #Education #Knowledge",-0.01,9527,466,179,71,0.0754,0,2025-12-07,10:59:00,754,LOW,SMALL,5
69,LinkedIn,poll,Fashion,DE,IN,"2025-07-30 15:03:00","#FashionTips #OOTD #Lookbook #Fashion #TrendingStyle",0.69,8092,349,134,53,0.0664,0,2025-07-30,15:03:00,664,LOW,SMALL,5
70,LinkedIn,poll,Education,HI,UK,"2025-10-21 15:49:00","#AcademicSuccess #Certification #Learning #Knowledge #Education #StudyTips",0.82,21249,1929,742,296,0.1397,1,2025-10-21,15:49:00,1397,LOW,SMALL,5
71,LinkedIn,image,Technology,ES,MX,"2025-10-17 02:47:00","#AI #Programming #Innovation #MachineLearning #TechTrends #DataScience #CodingLife",0.62,48290,1951,750,300,0.0622,0,2025-10-17,02:47:00,622,LOW,SMALL,5
72,LinkedIn,poll,Food,HI,US,"2025-03-21 09:05:00","#Recipe #MustTry #FoodBlog #Cooking #Foodie",0.53,34577,817,314,125,0.0364,0,2025-03-21,09:05:00,364,LOW,SMALL,5
73,LinkedIn,carousel,Entertainment,UR,CA,"2025-09-07 14:14:00","#Funny #Entertainment #MovieTime #Viral #FollowForMore #ShowBiz",0.18,19969,722,277,111,0.0557,0,2025-09-07,14:14:00,557,LOW,SMALL,5
74,LinkedIn,article,Travel,PT,MX,"2025-03-08 10:35:00","#Wanderlust #Travel #Tourism #Journey #ExploreMore #Adventure",0.95,21516,1393,536,214,0.0997,1,2025-03-08,10:35:00,997,LOW,SMALL,5
75,LinkedIn,poll,Health,PT,UK,"2025-02-28 14:51:00","#MentalHealth #Fitness #Health #Wellness #Nutrition #HealthTips",0.64,6154,284,109,43,0.071,0,2025-02-28,14:51:00,709,LOW,SMALL,5
76,LinkedIn,image,Education,FR,DE,"2025-03-28 09:32:00","#Knowledge #Certification #Education #Learning",0.55,12370,751,289,115,0.0935,1,2025-03-28,09:32:00,935,LOW,SMALL,5
77,LinkedIn,article,Sports,JA,JP,"2025-10-16 14:59:00","#Workout #Training #Cricket #Football #Basketball #Fitness #Sports",0.68,42378,1667,641,256,0.0605,0,2025-10-16,14:59:00,605,LOW,SMALL,5
78,LinkedIn,image,Food,EN,DE,"2025-09-17 15:02:00","#Cooking #MustTry #Food",0.99,6917,475,182,73,0.1057,1,2025-09-17,15:02:00,1057,LOW,SMALL,5
79,LinkedIn,poll,Health,JA,CA,"2025-10-11 23:28:00","#Nutrition #Wellness #Fitness #MentalHealth #HealthTips #Health",-0.59,23507,1486,571,228,0.0973,1,2025-10-11,23:28:00,973,LOW,SMALL,5
80,LinkedIn,article,Fashion,ES,US,"2025-05-07 14:33:00","#Style #OOTD #FashionTips #Lookbook #TrendingStyle #Fashion",0.14,4431,296,114,45,0.1031,1,2025-05-07,14:33:00,1031,LOW,SMALL,5
81,LinkedIn,image,Entertainment,DE,IN,"2025-10-13 09:46:00","#Funny #Viral #Trending #Entertainment #ShowBiz #FollowForMore #MovieTime",0.79,44393,2112,812,325,0.0732,0,2025-10-13,09:46:00,732,LOW,SMALL,5
82,LinkedIn,poll,Entertainment,UR,AU,"2025-07-12 10:08:00","#MovieTime #ShowBiz #Funny #Entertainment #Trending #Viral #FollowForMore",0.59,15037,622,239,95,0.0638,0,2025-07-12,10:08:00,638,LOW,SMALL,5
83,LinkedIn,carousel,Business,FR,MX,"2025-03-21 09:49:00","#Hustle #Leadership #BusinessTips #StartupLife #Entrepreneur #CareerGrowth",0.49,12851,988,380,152,0.1183,1,2025-03-21,09:49:00,1183,LOW,SMALL,5
84,LinkedIn,poll,Sports,JA,US,"2025-07-30 10:39:00","#Training #Workout #Basketball #Fitness #Football",0.98,31737,2946,1133,453,0.1429,1,2025-07-30,10:39:00,1429,LOW,SMALL,5
85,LinkedIn,video,Education,JA,JP,"2025-05-25 16:26:00","#Education #AcademicSuccess #Certification #StudyTips",0.69,25327,1498,576,230,0.0911,1,2025-05-25,16:26:00,911,LOW,SMALL,5
86,LinkedIn,article,Fashion,HI,UK,"2025-02-12 08:57:00","#Style #TrendingStyle #Fashion #FashionTips #Lookbook #OOTD",-0.63,26982,998,384,153,0.0569,0,2025-02-12,08:57:00,569,LOW,SMALL,5
87,LinkedIn,video,Health,HI,DE,"2025-04-25 09:41:00","#Wellness #Nutrition #Health #HealthTips #Fitness",0.48,47238,2349,903,361,0.0765,0,2025-04-25,09:41:00,765,LOW,SMALL,5
88,LinkedIn,poll,Technology,HI,US,"2025-05-12 10:46:00","#Innovation #TechTrends #AI #DataScience #Programming #MachineLearning #CodingLife",0.65,41816,2133,820,328,0.0785,0,2025-05-12,10:46:00,785,LOW,SMALL,5
89,LinkedIn,article,Travel,EN,AU,"2025-10-22 10:27:00","#ExploreMore #Wanderlust #Adventure",0.51,44792,958,368,147,0.0329,0,2025-10-22,10:27:00,329,LOW,SMALL,5
90,LinkedIn,image,Entertainment,EN,FR,"2025-08-29 15:16:00","#Entertainment #Trending #ShowBiz #MovieTime #Funny #FollowForMore #Viral",0.61,23187,1807,695,278,0.1199,1,2025-08-29,15:16:00,1199,LOW,SMALL,5
91,LinkedIn,video,Travel,JA,MX,"2025-03-11 15:18:00","#Travel #Adventure #Journey #ExploreMore",-0.54,36588,1341,516,206,0.0564,0,2025-03-11,15:18:00,564,LOW,SMALL,5
92,LinkedIn,article,Business,UR,DE,"2025-01-25 10:07:00","#CareerGrowth #Hustle #Leadership #Entrepreneur #StartupLife",-0.55,33605,1034,397,159,0.0474,0,2025-01-25,10:07:00,474,LOW,SMALL,5
93,LinkedIn,poll,Lifestyle,HI,FR,"2025-02-10 10:18:00","#Lifestyle #MindfulLiving #Motivation #Positivity #DailyLife",0.76,28925,846,325,130,0.045,0,2025-02-10,10:18:00,450,LOW,SMALL,5
94,LinkedIn,carousel,Education,JA,US,"2025-06-30 13:40:00","#Learning #StudyTips #Knowledge",0.85,11484,1079,415,166,0.1447,1,2025-06-30,13:40:00,1447,LOW,SMALL,5
95,LinkedIn,video,Food,JA,US,"2025-03-06 14:24:00","#Food #FoodBlog #Foodie #Cooking #Recipe #MustTry",0.86,38612,1066,410,164,0.0425,0,2025-03-06,14:24:00,425,LOW,SMALL,5
96,LinkedIn,image,Health,DE,UK,"2025-05-08 00:11:00","#HealthTips #MentalHealth #Health #Wellness #Fitness #Nutrition",0.77,46480,4152,1597,638,0.1374,1,2025-05-08,00:11:00,1374,LOW,SMALL,5
97,LinkedIn,carousel,Business,HI,MX,"2025-02-07 15:51:00","#StartupLife #Hustle #BusinessTips #Leadership #Entrepreneur #CareerGrowth",0.16,46889,2675,1029,411,0.0878,1,2025-02-07,15:51:00,878,LOW,SMALL,5
98,LinkedIn,image,Fashion,FR,IN,"2025-04-13 07:31:00","#OOTD #FashionTips #Lookbook",0.99,9504,650,250,100,0.1053,1,2025-04-13,07:31:00,1053,LOW,SMALL,5
99,LinkedIn,article,Entertainment,UR,FR,"2025-09-03 15:04:00","#Trending #MovieTime #Entertainment #FollowForMore",0.71,9410,799,307,123,0.1308,1,2025-09-03,15:04:00,1308,LOW,SMALL,5
100,LinkedIn,poll,Food,ES,MX,"2025-08-10 09:33:00","#Cooking #Foodie #FoodBlog #Recipe",-0.8,35006,1893,728,291,0.0832,1,2025-08-10,09:33:00,832,LOW,SMALL,5
101,LinkedIn,article,Lifestyle,FR,AU,"2025-05-21 14:34:00","#Wellness #DailyLife #MindfulLiving",0.77,40658,1748,672,269,0.0662,0,2025-05-21,14:34:00,662,LOW,SMALL,5
102,LinkedIn,poll,Technology,EN,IN,"2025-01-24 18:41:00","#Programming #Innovation #TechTrends #AI",0.78,19983,1349,519,207,0.1039,1,2025-01-24,18:41:00,1039,LOW,SMALL,5
103,LinkedIn,image,Travel,FR,FR,"2025-06-02 09:28:00","#Tourism #Journey #Adventure #ExploreMore #Travel #Wanderlust",-0.04,23634,1783,686,274,0.1161,1,2025-06-02,09:28:00,1161,LOW,SMALL,5
104,LinkedIn,video,Education,HI,DE,"2025-05-04 14:15:00","#Learning #Certification #Knowledge #Education",0.01,11466,757,291,116,0.1017,1,2025-05-04,14:15:00,1017,LOW,SMALL,5
105,LinkedIn,poll,Education,FR,MX,"2025-09-13 14:56:00","#StudyTips #Learning #AcademicSuccess #Education #Knowledge",-0.81,24127,295,113,45,0.0188,0,2025-09-13,14:56:00,188,LOW,SMALL,5
106,LinkedIn,image,Travel,JA,UK,"2025-10-02 09:08:00","#Journey #Wanderlust #Tourism #Adventure #Travel",0.74,13756,614,236,94,0.0687,0,2025-10-02,09:08:00,687,LOW,SMALL,5
107,LinkedIn,image,Entertainment,PT,AU,"2025-08-19 08:39:00","#Funny #Entertainment #Viral #MovieTime #ShowBiz #Trending #FollowForMore",0.62,10454,321,123,49,0.0473,0,2025-08-19,08:39:00,473,LOW,SMALL,5
108,LinkedIn,poll,Health,EN,US,"2025-01-20 14:33:00","#Wellness #HealthTips #Nutrition #MentalHealth #Fitness #Health",0.77,20610,1308,503,201,0.0977,1,2025-01-20,14:33:00,977,LOW,SMALL,5
109,LinkedIn,poll,Fashion,JA,CA,"2025-06-03 09:21:00","#Fashion #TrendingStyle #OOTD #FashionTips #Lookbook #Style",0.79,38910,2432,935,374,0.0962,1,2025-06-03,09:21:00,961,LOW,SMALL,5
110,LinkedIn,article,Food,JA,MX,"2025-09-26 19:53:00","#Foodie #MustTry #Food #Cooking #Recipe #FoodBlog",0.59,10924,512,197,78,0.0721,0,2025-09-26,19:53:00,721,LOW,SMALL,5
111,LinkedIn,video,Health,JA,US,"2025-12-28 10:20:00","#MentalHealth #HealthTips #Nutrition #Wellness #Health #Fitness",-0.69,24218,1093,420,168,0.0695,0,2025-12-28,10:20:00,695,LOW,SMALL,5
112,LinkedIn,image,Food,JA,BR,"2025-05-07 14:19:00","#MustTry #Foodie #Recipe #FoodBlog #Cooking",0.96,48294,1914,736,294,0.061,0,2025-05-07,14:19:00,610,LOW,SMALL,5
113,LinkedIn,article,Food,PT,FR,"2025-06-26 04:02:00","#MustTry #Food #Cooking #Foodie #Recipe",-0.09,36296,1080,415,166,0.0458,0,2025-06-26,04:02:00,458,LOW,SMALL,5
114,LinkedIn,poll,Lifestyle,ES,IN,"2025-11-12 07:03:00","#Wellness #DailyLife #MindfulLiving #Lifestyle #Motivation #Positivity",0.68,45642,3467,1333,533,0.1169,1,2025-11-12,07:03:00,1169,LOW,SMALL,5
115,LinkedIn,article,Fashion,ES,FR,"2025-12-01 15:41:00","#OOTD #Lookbook #FashionTips #TrendingStyle",0.86,43749,2769,1065,426,0.0974,1,2025-12-01,15:41:00,974,LOW,SMALL,5
116,LinkedIn,poll,Technology,ES,FR,"2025-04-01 01:25:00","#MachineLearning #CodingLife #DataScience #AI #TechTrends #Programming",0.46,22957,822,316,126,0.0551,0,2025-04-01,01:25:00,551,LOW,SMALL,5
117,LinkedIn,poll,Fashion,JA,MX,"2025-09-16 10:21:00","#Lookbook #TrendingStyle #OOTD #FashionTips",0.84,20334,1270,488,195,0.0961,1,2025-09-16,10:21:00,961,LOW,SMALL,5
118,LinkedIn,video,Sports,PT,FR,"2025-09-21 15:06:00","#Fitness #Basketball #Football #Training",0.63,30277,2231,858,343,0.1134,1,2025-09-21,15:06:00,1134,LOW,SMALL,5
119,LinkedIn,image,Lifestyle,EN,UK,"2025-12-01 10:42:00","#Positivity #Motivation #DailyLife",0.7,47108,3593,1382,552,0.1174,1,2025-12-01,10:42:00,1174,LOW,SMALL,5
120,LinkedIn,article,Lifestyle,DE,CA,"2025-04-24 10:09:00","#MindfulLiving #Wellness #Motivation #DailyLife #Positivity #Lifestyle",0.14,40047,2910,1119,447,0.1118,1,2025-04-24,10:09:00,1118,LOW,SMALL,5
121,LinkedIn,article,Fashion,JA,AU,"2025-12-27 09:53:00","#FashionTips #Style #Lookbook #Fashion #TrendingStyle #OOTD",0.52,39217,2029,780,312,0.0796,0,2025-12-27,09:53:00,796,LOW,SMALL,5
122,LinkedIn,poll,Travel,EN,JP,"2025-03-09 15:03:00","#Tourism #Wanderlust #Travel #Adventure #ExploreMore #Journey",0.09,3968,165,63,25,0.0641,0,2025-03-09,15:03:00,641,LOW,SMALL,5
123,LinkedIn,article,Fashion,EN,IN,"2025-08-30 15:49:00","#Lookbook #TrendingStyle #OOTD #Style",0.95,25739,1236,475,190,0.074,0,2025-08-30,15:49:00,740,LOW,SMALL,5
